Id_censo,Indicadores de renta media,Primera fecha: Total
2807901025,Mediana de la renta por unidad de consumo,21.350
2807901025,Renta bruta media por hogar,51.965
2807901025,Renta bruta media por persona,25.061
2807901025,Renta neta media por hogar,40.343
2807901025,Renta neta media por persona,19.456
2807901026,Media de la renta por unidad de consumo,31.202
2807901026,Mediana de la renta por unidad de consumo,23.450
2807901026,Renta bruta media por hogar,63.221
2807901026,Renta bruta media por persona,31.822
2807901026,Renta neta media por hogar,46.837
2807901026,Renta neta media por persona,23.575
2807901027,Media de la renta por unidad de consumo,26.581
2807901027,Mediana de la renta por unidad de consumo,22.050
2807901027,Renta bruta media por hogar,48.678
2807901027,Renta bruta media por persona,24.339
2807901027,Renta neta media por hogar,38.261
2807901027,Renta neta media por persona,19.131
2807901028,Media de la renta por unidad de consumo,21.950
2807901028,Mediana de la renta por unidad de consumo,17.850
2807901028,Renta bruta media por hogar,40.649
2807901028,Renta bruta media por persona,19.537
2807901028,Renta neta media por hogar,32.629
2807901028,Renta neta media por persona,15.683
2807901029,Media de la renta por unidad de consumo,19.104
2807901029,Mediana de la renta por unidad de consumo,16.450
2807901029,Renta bruta media por hogar,36.416
2807901029,Renta bruta media por persona,16.780
2807901029,Renta neta media por hogar,29.392
2807901029,Renta neta media por persona,13.544
2807901030,Media de la renta por unidad de consumo,16.506
2807901030,Mediana de la renta por unidad de consumo,12.950
2807901030,Renta bruta media por hogar,31.328
2807901030,Renta bruta media por persona,14.279
2807901030,Renta neta media por hogar,26.100
2807901030,Renta neta media por persona,11.896
2807901031,Media de la renta por unidad de consumo,16.289
2807901031,Mediana de la renta por unidad de consumo,12.950
2807901031,Renta bruta media por hogar,29.528
2807901031,Renta bruta media por persona,14.302
2807901031,Renta neta media por hogar,24.630
2807901031,Renta neta media por persona,11.930
2807901032,Media de la renta por unidad de consumo,21.189
2807901032,Mediana de la renta por unidad de consumo,18.550
2807901032,Renta bruta media por hogar,40.358
2807901032,Renta bruta media por persona,18.759
2807901032,Renta neta media por hogar,32.550
2807901032,Renta neta media por persona,15.129
2807901033,Media de la renta por unidad de consumo,17.440
2807901033,Mediana de la renta por unidad de consumo,14.350
2807901033,Renta bruta media por hogar,31.597
2807901033,Renta bruta media por persona,15.786
2807901033,Renta neta media por hogar,26.270
2807901033,Renta neta media por persona,13.125
2807901034,Media de la renta por unidad de consumo,13.061
2807901034,Mediana de la renta por unidad de consumo,9.450
2807901034,Renta bruta media por hogar,25.831
2807901034,Renta bruta media por persona,11.555
2807901034,Renta neta media por hogar,21.742
2807901034,Renta neta media por persona,9.726
2807901035,Media de la renta por unidad de consumo,16.059
2807901035,Mediana de la renta por unidad de consumo,12.950
2807901035,Renta bruta media por hogar,31.146
2807901035,Renta bruta media por persona,13.914
2807901035,Renta neta media por hogar,26.025
2807901035,Renta neta media por persona,11.627
2807901036,Media de la renta por unidad de consumo,17.001
2807901036,Mediana de la renta por unidad de consumo,14.350
2807901036,Renta bruta media por hogar,30.192
2807901036,Renta bruta media por persona,15.432
2807901036,Renta neta media por hogar,25.073
2807901036,Renta neta media por persona,12.815
2807901037,Media de la renta por unidad de consumo,18.446
2807901037,Mediana de la renta por unidad de consumo,16.450
2807901037,Renta bruta media por hogar,35.226
2807901037,Renta bruta media por persona,16.450
2807901037,Renta neta media por hogar,29.343
2807901037,Renta neta media por persona,13.702
2807901038,Media de la renta por unidad de consumo,16.090
2807901038,Mediana de la renta por unidad de consumo,12.950
